CompanyName,SourceDomainText,EmailDomain
Adatum Corporation,adatum.com,adatum.com
Adventure Works Cycles,adventure-works.com,adventure-works.com
Alpine Ski House,alpineskihouse.com,alpineskihouse.com
Bellows College,bellowscollege.com,bellowscollege.com
Best For You Organics Company,bestforyouorganics.com,bestforyouorganics.com
Boulder Innovations,boulder-innovations.com,boulder-innovations.com
"Contoso, Ltd.",contoso.com,contoso.com
Contoso Pharmaceuticals,contoso.com,contoso.com
Contoso Suites,contososuites.com,contososuites.com
Consolidated Messenger,consolidatedmessenger.com,consolidatedmessenger.com
"Fabrikam, Inc.",fabrikam.com,fabrikam.com
Fabrikam Residences,http://fabrikamresidences.com,fabrikamresidences.com
First Up Consultants,http://firstupconsultants.com,firstupconsultants.com
Fourth Coffee,fourthcoffee.com,fourthcoffee.com
Graphic Design Institute,graphicdesigninstitute.com,graphicdesigninstitute.com
Humongous Insurance,humongousinsurance.com,humongousinsurance.com
Lakeshore Retail,lakeshore-retail.com,lakeshore-retail.com
Lamna Healthcare Company,lamnahealthcare.com,lamnahealthcare.com
Liberty's Delightful Sinful Bakery & Cafe,libertysdelightfulsinfulbakeryandcafe.com,libertysdelightfulsinfulbakeryandcafe.com
Lucerne Publishing,lucernepublishing.com,lucernepublishing.com
Margie's Travel,margiestravel.com,margiestravel.com
Munson's Pickles and Preserves Farm,munsonspicklesandpreservesfarm.com,munsonspicklesandpreservesfarm.com
Nod Publishers,nodpublishers.com,nodpublishers.com
Northwind Traders,northwindtraders.com,northwindtraders.com
"Proseware, Inc.",proseware.com,proseware.com
Relecloud,relecloud.com,relecloud.com
School of Fine Art,fineartschool.net,fineartschool.net
Southridge Video,southridgevideo.com,southridgevideo.com
Tailspin Toys,tailspintoys.com,tailspintoys.com
Tailwind Traders,tailwindtraders.com,tailwindtraders.com
Trey Research,treyresearch.net,treyresearch.net
The Phone Company,thephone-company.com,thephone-company.com
"VanArsdel, Ltd.",vanarsdelltd.com,vanarsdelltd.com
Wide World Importers,wideworldimporters.com,wideworldimporters.com
Wingtip Toys,http://wingtiptoys.com,wingtiptoys.com
Woodgrove Bank,woodgrovebank.com,woodgrovebank.com
Woodgrove Groceries,woodgrovegroceries.com,woodgrovegroceries.com
"Zava (Inc., LLC, Ltd.)",zava-online.com,zava-online.com
