FirstName,LastName,FullName,FirstNameNative,LastNameNative,FullNameNative,Gender,Language
Amin,Alimov,Amin Alimov,Amin,Alimov,Amin Alimov,Male,Azerbaijani
Daniela,Petkovska,Daniela Petkovska,Даниела,Петковска,Даниела Петковска,Female,Macedonian
Pedro,Sapón,Pedro Sapón,Pedro,Sapón,Pedro Sapón,Male,K'iche'
Miyu,Hashimoto,Hashimoto Miyu,美結,橋本,橋本 美結,Female,Japanese
Gilbert,Bonsaint,Gilbert Bonsaint,Gilbert,Bonsaint,Gilbert Bonsaint,Male,French (France)
Hasna,Munira,Hasna Manira,Hasna,Munira,Hasna Manira,Female,Kiswahili
Olivia,Wilson,Olivia Wilson,Olivia,Wilson,Olivia Wilson,Female,English (United States)
Stevan,Danicic,Stevan Danicic,Стеван,Даничић,Стеван Даничић,Male,Serbian (Cyrillic - Serbia)
Airi,Ilves,Airi Ilves,Airi,Ilves,Airi Ilves,Female,Estonian
Valentina,Huaman,Valentina Huamán,Valentina,Huaman,Valentina Huamán,Female,Quechua
Tarja,Hyypiä,Tarja Hyypiä,Tarja,Hyypiä,Tarja Hyypiä,Female,Finnish
Izabella,Gyenes,Gyenes Izabella,Izabella,Gyenes,Gyenes Izabella,Female,Hungarian
Shokat,Younas,Shokat Younas,شوکت,یونس,شوکت یونس,Male,Punjabi (Pakistan)
Kinan,Kaunang,Kinan Kaunang,Kinan,Kaunang,Kinan Kaunang,Gender neutral,Indonesian
Håvard,Simonsen,Håvard Simonsen,Håvard,Simonsen,Håvard Simonsen,Male,Norwegian
Zoe,Anagnostou,Zoe Anagnostou,Ζωή,Αναγνώστου,Ζωή Αναγνώστου,Female,Greek
Geeta,Bayan,Geeta Bayan,গীতা,বায়ন,গীতা বায়ন,Female,Assamese
Pankaj,Moharana,Pankaj Moharana,ପଙ୍କଜ,ମହାରଣା,ପଙ୍କଜ ମହାରଣା,Male,Oriya
Iñaki,Elizagutia,Iñaki Elizagutia,Iñaki,Elizagutia,Iñaki Elizagutia,Male,Basque
Joni,Shah,Joni Shah,જોની,શાહ,જોની શાહ,Male,Gujarati
Semira,Girma,Semira Girma,ሰሚራ,ግርማ,ሰሚራ ግርማ,Female,Amharic
Ausra,Gudaitiene,Ausra Gudaitiene,Aušra,Gudaitienė,Aušra Gudaitienė,Female,Lithuanian
Yusuf,Osman,Yusuf Osman,Yusuf,Osman,Yusuf Osman,Male,Danish
Antón,Caneiro,Antón Caneiro,Antón,Caneiro,Antón Caneiro,Male,Galician
Taji,Baraka,Taji Baraka,Taji,Baraka,Taji Baraka,Gender neutral,Kiswahili
Teresa,Andrade,Teresa Andrade,Teresa,Andrade,Teresa Andrade,Female,Portuguese
Nabanita,Bandopadhyay,Nabanita Bandopadhyay,নবনীতা,বন্দ্যোপাধ্যায়,নবনীতা বন্দ্যোপাধ্যায়,Female,Bengali (India)
Sanja,Jankovic,Sanja Jankovic,Sanja,Janković,Sanja Janković,Female,Bosnian
Marie,Methot,Marie Methot,Marie,Méthot,Marie Méthot,Female,French (France)
Suresh,Hanafi,Suresh Hanafi,Hanafi,Suresh Hanafi,Hanafi Suresh Hanafi,Male,Malay
Gurpreet,Bawa,Gurpreet Bawa,ਗੁਰਪ੍ਰੀਤ,ਬਾਵਾ,ਗੁਰਪ੍ਰੀਤ ਬਾਵਾ,Male,Punjabi (India)
Zola ,Sodlaka,Zola Sodlaka,Zola,Sodlaka,Zola Sodlaka,Male,isiXhosa
Ruben,Ghukasyan,Ruben Ghukasyan,Ռուբեն,Ղուկասյան,Ռուբեն Ղուկասյան,Male,Armenian
Ozgur,Tekin,Ozgur Tekin,Özgür,Tekin,Özgür Tekin,Male,Turkish
Meret,Caryyew,Meret Caryyew,Meret,Çaryýew,Meret Çaryýew,Male,Turkmen
Adam,Jelinek,Adam Jelínek,Adam,Jelínek,Adam Jelínek,Male,Czech
Christian,Forsberg,Christian Forsberg,Christian,Forsberg,Christian Forsberg,Male,Swedish
Riley,Johnson,Riley Johnson,Riley,Johnson,Riley Johnson,Gender neutral,English (United Kingdom)
Lorato,Bogosi,Lorato Bogosi,Lorato,Bogosi,Lorato Bogosi,Female,Setswana
Hye-Ri,Jung,Hye-Ri Jung,혜리,정,정혜리,Female,Korean
Mikola,Liashchanka,Mikola Liashchanka,Мікола,Ляшчанка,Мікола Ляшчанка,Male,Belarussian
Adam,Vacha,Adam Vacha,Adam,Vácha,Adam Vácha,Male,Czech
Rajesh,Santoshi,Rajesh Santoshi,राजेश,संतोशी,राजेश संतोशी,Male,Hindi
Bohdan,Koziar,Bohdan Koziar,Богдан,Козяр,Богдан Козяр,Male,Ukrainian
Toomas,Sild,Toomas Sild,Toomas,Sild,Toomas Sild,Male,Estonian
Stefan,Beno,Stefan Beno,Štefan,Beňo,Štefan Beňo,Male,Slovak
Momchil,Nikolov,Momchil Nikolov,Момчил,Николов,Момчил Николов,Male,Bulgarian
Gulnoza,Anvarova,Gulnoza Anvarova,Gulnoza,Anvarova,Gulnoza Anvarova,Female,Uzbek
Bahar,Kazemi,Bahar Kazemi,بهار,کاظمی,بهار کاظمی,Female,Persian
Kris,Lepmets,Kris Lepmets,Kris,Lepmets,Kris Lepmets,Gender neutral,Estonian
Ngoc,Thach,Thach Ngoc,Ngọc,Thạch,Thạch Minh Ngọc,Female,Vietnamese
Luka,Zupan,Luka Zupan,Luka,Zupan,Luka Zupan,Male,Slovenian
Nicolás,Ponce,Nicolás Ponce,Nicolás,Ponce,Nicolás Ponce,Male,Spanish (Mexico)
Upul,Amarasiri,Upul Amarasiri,උපුල්,අමරසිරි,උපුල් අමරසිරි,Male,Sinhala
Adriana,Mota,Adriana Mota,Adriana,Mota,Adriana Mota,Female,Portuguese (Portugal)
Tania,De Sousa,Tania De Sousa,Tania,De Sousa,Tania De Sousa,Female,Luxembourgish
Abdulla,Isroilov,Abdulla Isroilov,Abdulla,Isroilov,Abdulla Isroilov,Male,Uzbek
Leyla,Mammadova,Leyla Mammadova,Leyla,Məmmədova,Leyla Məmmədova,Female,Azerbaijani
Fahd,Al-Otaibi,Fahd Al-Otaibi,فهد,العتيبي,فهد العتيبي,Male,Arabic
Miles,Abolrous,Miles Abolrous,Maoilios,Abolrous,Maoilios Abolrous,Male,Scottish Gaelic
Jan,Kozlowski,Jan Kozlowski,Jan,Kozłowski,Jan Kozłowski,Male,Polish
Natasa,Lekovic,Natasa Lekovic,Nataša,Leković,Nataša Leković,Female,Serbian (Latin - Serbia)
Dragan,Lazarevski,Dragan Lazarevski,Драган,Лазаревски,Драган Лазаревски,Male,Macedonian
Elira,Kodra,Elira Kodra,Elira,Kodra,Elira Kodra,Female,Albanian
Obinna,Ekechukwu,Obinna Ekechukwu,Obinna,Ekechukwu,Obinna Ekechukwu,Male,Igbo
Iustin,Munteanu,Iustin Munteanu,Iustin,Munteanu,Iustin Munteanu,Male,Romanian
Sanela,Ivanovic,Sanela Ivanovic,Sanela,Ivanović,Sanela Ivanović,Female,Croatian
Tim,Nyström,Tim Nyström,Tim,Nyström,Tim Nyström,Male,Swedish
Farzan,Ansari,Farzan Ansari,فرزان,انصاری,فرزان انصاری,Male,Urdu
Yuina,Wada,Wada Yuina,結菜,和田,和田 結菜,Female,Japanese
Samat,Eralieva,Samat Eralieva,Самат,Эралиева,Самат Эралиева,Gender neutral,Kyrgyz
Noel,Gatdula,Noel Gatdula,Noel,Gatdula,Noel Gatdula,Male,Filipino
Fernanda,Sarmento,Fernanda Sarmento,Fernanda,Sarmento,Fernanda Sarmento,Female,Portuguese (Portugal)
Ilene,Vanderstar,Ilene Vanderstar,Ilene,Vanderstar,Ilene Vanderstar,Female,Dutch
Bhumika,Chattopadhyay,Bhumika Chattopadhyay,ভূমিকা,চট্টোপাধ্যায়,ভূমিকা চট্টোপাধ্যায়,Female,Bangla (Bangladesh)
Ellis,Carmichael,Ellis Carmichael,Ellis,Carmichael,Ellis Carmichael,Gender neutral,English (United Kingdom)
Petra,Pavlic,Petra Pavlic,Petra,Pavlič,Petra Pavlič,Female,Slovenian
Séamus,Mac Domhnaill,Séamus Mac Domhnaill,Séamus,Mac Domhnaill,Séamus Mac Domhnaill,Male,Irish
Zoran,Jokic,Zoran Jokic,Зоран,Јокић,Зоран Јокић,Male,Serbian (Cyrillic - BiH)
Jukka-Pekka,Enestam,Jukka-Pekka Enestam,Jukka-Pekka,Enestam,Jukka-Pekka Enestam,Male,Finnish
Srood,Sirwan,Srood Sirwan,سروود,سیروان,سروود سیروان,Male,Kurdish
Federico,Tercedor,Federico Tercedor,Federico,Tercedor,Federico Tercedor,Male,Spanish (Mexico)
Borys,Drubych,Borys Drubych,Борис,Друбич,Борис Друбич,Male,Ukrainian
Abdukerim,Ibrahim,Abdukerim Ibrahim,ئابدۇكەرىم,ئىبراھىم,ئابدۇكەرىم ئىبراھىم,Male,Uyghur
Navneet,Sandhu,Navneet Sandhu,ਨਵਨੀਤ,ਸੰਧੂ,ਨਵਨੀਤ ਸੰਧੂ,Male,Punjabi (India)
Arnoud,Wolthuis,Arnoud Wolthuis,Arnoud,Wolthuis,Arnoud Wolthuis,Male,Dutch
Kai,Carter,Kai Carter,Kai,Carter,Kai Carter,Gender neutral,English (United States)
Slavko,Mladjen,Slavko Mladjen,Славко,Млађен,Славко Млађен,Male,Serbian (Cyrillic - BiH)
Noemi,Lucchesi,Noemi Lucchesi,Noemi,Lucchesi,Noemi Lucchesi,Female,Italian
Hannah,Haynes,Hannah Haynes,Hannah,Haynes,Hannah Haynes,Female,English (United Kingdom)
Sang,Trinh,Trinh Sang,Sáng,Trịnh,Trịnh Quang Sáng,Male,Vietnamese
Amey,Wadkar,Amey Wadkar,अमेय,वाडकर,अमेय वाडकर,Male,Marathi
Jameela,Asghar,Jameela Asghar,جمیلہ,اصغر,جمیلہ اصغر,Female,Punjabi (Pakistan)
Jeanette,Kjær,Jeanette Kjær,Jeanette,Kjær,Jeanette Kjær,Female,Danish
Shoira,Nazarova,Shoira Nazarova,Shoira,Nazarova,Shoira Nazarova,Female,Uzbek
Lara,Wolfe,Lara Wolfe,Lara,Wolfe,Lara Wolfe,Female,German
Malik,Haddad,Malik Haddad,Malik,Haddad,Malik Haddad,Male,French (Canada)
Jan,Macek,Jan Macek,Jan,Macek,Jan Macek,Male,Czech
Gunnveig,Bakke,Gunnveig Bakke,Gunnveig,Bakke,Gunnveig Bakke,Female,Norwegian
Habtu,Michael,Habtu Michael,ሃብቱ,ሚካኤል,ሃብቱ ሚካኤል,Male,Tigrinya
